,r2_lasso,r2_RF,r2_NN,r2_DT,r2_SVM,r2_lasso_scram,r2_RF_scram,r2_NN_scram,r2_DT_scram_list,r2_SVM_scram_list
72,0.432,0.836,0.718,0.799,0.704,0.362,0.84,0.686,0.768,0.786
73,0.354,0.79,0.632,0.757,0.657,0.29,0.8,0.567,0.719,0.707
74,0.387,0.774,0.6,0.757,0.657,0.32,0.78,0.555,0.716,0.707
75,0.422,0.845,0.714,0.8,0.697,0.34,0.831,0.683,0.741,0.797
76,0.397,0.835,0.659,0.789,0.644,0.352,0.834,0.587,0.739,0.741
77,0.433,0.758,0.624,0.711,0.637,0.385,0.759,0.556,0.71,0.679
78,0.422,0.777,0.62,0.732,0.628,0.369,0.786,0.55,0.721,0.73
79,0.41,0.765,0.504,0.702,0.625,0.381,0.782,0.465,0.703,0.703
80,0.416,0.788,0.653,0.752,0.65,0.366,0.791,0.591,0.759,0.714
81,0.443,0.803,0.674,0.761,0.701,0.359,0.801,0.622,0.719,0.728
82,0.432,0.799,0.67,0.753,0.701,0.352,0.793,0.577,0.751,0.732
83,0.436,0.837,0.641,0.799,0.725,0.365,0.831,0.569,0.781,0.742
84,0.426,0.851,0.696,0.815,0.755,0.348,0.853,0.636,0.772,0.791
85,0.373,0.812,0.632,0.756,0.659,0.326,0.804,0.591,0.749,0.724
86,0.426,0.842,0.713,0.809,0.732,0.389,0.838,0.667,0.794,0.8
87,0.391,0.809,0.612,0.742,0.665,0.376,0.81,0.593,0.749,0.732
88,0.455,0.821,0.66,0.762,0.683,0.394,0.818,0.618,0.77,0.771
89,0.433,0.856,0.677,0.814,0.719,0.383,0.854,0.69,0.805,0.763
90,0.405,0.789,0.625,0.729,0.653,0.368,0.787,0.608,0.742,0.743
91,0.396,0.79,0.632,0.755,0.597,0.328,0.782,0.55,0.721,0.689
92,0.429,0.818,0.667,0.773,0.661,0.382,0.811,0.615,0.741,0.737
93,0.448,0.787,0.696,0.751,0.661,0.392,0.795,0.656,0.76,0.733
94,0.443,0.864,0.706,0.837,0.727,0.365,0.857,0.672,0.794,0.775
95,0.451,0.821,0.634,0.776,0.693,0.379,0.823,0.584,0.761,0.746
96,0.413,0.831,0.664,0.794,0.727,0.366,0.832,0.634,0.772,0.764
97,0.385,0.788,0.563,0.734,0.647,0.327,0.785,0.528,0.719,0.675
98,0.399,0.835,0.643,0.799,0.691,0.319,0.825,0.596,0.752,0.754
99,0.41,0.83,0.674,0.792,0.643,0.345,0.824,0.613,0.777,0.741
