,y_train,y_pred_train
dpd4_vp16_4,0.7744774653178125,0.3530296739677866
srb7_spp1_3,0.3860899634203418,0.4645538066376155
vps71_med7_1,0.401369869752877,0.4425062147716995
nut2_sir2_3,0.2885099999416332,0.4484881380468896
hat2_tdh3_1,0.2356045298388537,0.3854286414376585
gapdh_swc5_3,0.2393179280674212,0.29109348377478533
sus1_hat1_3,0.5106419205399517,0.4340611496321436
empty_snf11_1,0.521236584537824,0.3743847294692815
med7_arp9_3,0.3555886873380687,0.42486500656949383
mig1_gcn5_4,0.3997341815829829,0.29294131366650855
nhp10_cdc36_3,0.2963742814770459,0.41660049383703845
hat2_cac2_1,0.2316648763595989,0.4039089205533238
nhp6a_pyk1_4,0.2248817939294517,0.24957280179510996
hst2_hmt2_1,0.2978635466811901,0.25744423019408913
swd3_lge1_3,0.4782359024737077,0.3860919060442536
nhp10_hat2_1,0.2764667908422809,0.4066247175618076
esa1_dpd4_1,0.3223986641739327,0.4380397361254699
snf11_sir2_4,0.173979277257348,0.4775476575986298
gapdh_nut2_2,0.1653071577483201,0.3576425194334076
dpd4_tdh3_3,0.2932961534661457,0.3311148341606357
swc5_btt1_1,0.2538844786192221,0.37676443818168176
hos2_arp9_1,0.494667348813746,0.38755729712846565
hda1_mig1_3,0.2255409255474189,0.35892466891109936
hos2_empty_1,0.542168917528554,0.3830634334518962
tdh3_med4_2,0.1883061624121464,0.38949711183944985
btt1_sus1_2,0.493501354970187,0.43936763734526785
hst2_hat1_1,0.2547150678663224,0.3019187105792033
arp9_hmt2_4,0.2172678316252116,0.31147230417733385
nhp6a_vp16_1,0.4944584242877855,0.3483175663711576
eaf3_vp16_4,0.5601034226811337,0.3662075026963798
vp16_lge1_2,0.8783120984292552,0.6532693510424312
hat1_hat2_1,0.2278116703310285,0.4258549132818925
nhp10_gcn5_3,0.3326856755742214,0.4090237953741068
hat1_DAM_2,0.4194840776719382,0.48158581727375616
arp9_snf11_2,0.2664280250895324,0.4836301762181064
tdh3_htl1_3,0.3090336566096531,0.32242974960287263
swc5_med7_3,0.3751907933919577,0.3829711794379431
cac2_tdh3_3,0.2286330929841591,0.3383824267855381
hos2_ldb7_1,0.6438843365248286,0.3814167546142184
nhp6a_med4_4,0.2987004582481313,0.3071827577127558
ies5_hst2_1,0.3718142224879006,0.39564137424353074
hda1_vps71_1,0.2471321960911086,0.38827401283617846
gapdh_sfh1_4,0.469730932769343,0.2748193293051776
vp16_empty_2,0.8991409235556138,0.6458194471652354
sfh1_spp1_2,0.8521987622806994,0.5922867529585019
mig1_sus1_1,0.200989493666596,0.33952451737662764
eaf5_hat2_1,0.5539515496941742,0.41279711494240245
esa1_mig1_2,0.490231103035284,0.48377013491315446
mig1_cac2_3,0.1816937086893834,0.3074734793905947
ldb7_hat1_3,0.488087416674505,0.36039931393630564
hat1_bre2_4,0.2642387379756421,0.3966880642773863
med7_rpd3_3,0.4427416396447257,0.3922856378832581
hos1_gapdh_2,0.4977357177276297,0.4395561007118917
med4_mig1_3,0.4484567557370965,0.43383264831214746
hhf2_spp1_1,0.2261115921549857,0.3292274390785916
hhf2_hat1_3,0.334219502897588,0.3227545498804978
vps71_med4_2,0.4279554191894682,0.5054439185089094
eaf5_snf11_2,0.6667415216084756,0.511989730624069
ada2_arp9_1,0.6913462978915954,0.41546324739197554
mig1_btt1_3,0.2474324304275559,0.3243363753377876
nhp10_nut2_3,0.326737140536441,0.41812050045910804
rtt102_htl1_3,0.42388850876494,0.4166626342951476
hat2_DAM_2,0.3675672638659498,0.4669507631908996
sfh1_empty_4,0.3173356150534474,0.48437707317656187
dpd4_ies5_2,0.2225541578028836,0.4368089165745974
hda1_hmt2_3,0.2849036841024421,0.3261297974153176
