,y_train,y_pred_train
swd3_hat1,0.4562442799495959,0.41972489642629296
srb7_gapdh,0.3222003321170688,0.3163902571252218
dpd4_gcn5,0.228298132165046,0.3097604349757277
swd3_sus1,0.6884204462560739,0.5883285117855837
hhf2_hos2,0.2696634420205145,0.3079570698854942
med4_bre2,0.7819552897231209,0.5907542473598992
tdh3_eaf3,0.2201616378195153,0.23834119965303135
eaf5_nut2,0.6261085666216804,0.6200801149408595
swc5_hat1,0.2402637227413673,0.3173794156020934
rtt102_vps71,0.4413101994895628,0.4197129340700936
mig1_tdh3,0.1487386729312816,0.16933245256555107
snf11_dpd4,0.5870098749689403,0.6007932089663545
arp9_nhp10,0.2015863624951035,0.2898289504995795
pyk2_snf11,0.3514114968629078,0.4247412133127797
srb7_hos1,0.4239950037225932,0.43660140675266185
tdh3_tdh3,0.1974327322230599,0.2137395423131198
ies5_lge1,0.3922672846842578,0.4111697217051683
hhf2_rpd3,0.2438583792863096,0.30576902669759415
swc5_esa1,0.2834741870907361,0.33404491674937736
arp6_hos1,0.3762716888529771,0.3684122266684007
esa1_spp1,0.4445512724875088,0.4163006982691837
esa1_srb7,0.4473307235906775,0.45016338892050123
sus1_nut2,0.6927280425227706,0.640179547882124
esa1_gcn5,0.5778383313130655,0.5081966879617212
hos1_mig1,0.2829670655618944,0.28681293064478725
rpd3_arp9,0.4145966836806533,0.3459132297073068
hst2_hos2,0.2637841489043183,0.29423520317094864
nut2_cac2,0.5711660205333993,0.48548873684721483
nhp6a_ada2,0.2022672730238059,0.2729941358188472
