,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
srb7_hat1,2155.0,2857.0,4309.0,3244.0,3466.0,1695.0,6799.0,5595.0,10029.0,6909.0,9904.0,8876.0
esa1_dpd4,2127.0,2435.0,3178.0,1826.0,1561.0,558.0,3887.0,2294.0,2504.0,2875.0,2971.0,1584.0
snf11_hmt2,2126.0,2505.0,2549.0,1471.0,1165.0,671.0,2606.0,2618.0,2090.0,1771.0,2470.0,1078.0
htl1_med7,2119.0,1745.0,1891.0,1594.0,1527.0,1009.0,264.0,221.0,343.0,393.0,489.0,367.0
tdh3_esa1,2117.0,1686.0,2188.0,1755.0,1865.0,1768.0,2580.0,1962.0,3139.0,2934.0,2812.0,2988.0
btt1_empty,2078.0,2108.0,3230.0,2445.0,2054.0,1408.0,4547.0,2354.0,3078.0,3276.0,3504.0,2252.0
srb7_cdc36,2071.0,1499.0,2556.0,1912.0,2477.0,807.0,1191.0,1165.0,1623.0,1510.0,2151.0,773.0
med7_hat2,2069.0,1331.0,1550.0,822.0,772.0,198.0,807.0,637.0,818.0,865.0,914.0,318.0
nhp10_dpd4,2061.0,2317.0,4025.0,4566.0,5520.0,1200.0,4001.0,3223.0,10455.0,10687.0,13375.0,4053.0
dpd4_med7,2051.0,2144.0,3250.0,2100.0,2121.0,752.0,4837.0,2796.0,4978.0,4131.0,3264.0,1164.0
btt1_lge1,2048.0,2240.0,2811.0,2068.0,2025.0,1183.0,4179.0,3269.0,3963.0,4096.0,4726.0,5763.0
btt1_nut2,2042.0,1863.0,2347.0,1622.0,1693.0,443.0,2269.0,2030.0,2798.0,3191.0,4084.0,11127.0
rtt102_btt1,2041.0,1737.0,2203.0,2028.0,1545.0,439.0,1741.0,1052.0,1818.0,1862.0,1811.0,13826.0
bre2_gapdh,2014.0,1704.0,2258.0,1400.0,1205.0,403.0,777.0,1050.0,1158.0,1392.0,1585.0,517.0
empty_srb7,1989.0,1567.0,2064.0,1390.0,1637.0,505.0,2063.0,1446.0,1928.0,1738.0,2045.0,6856.0
vp16_sfh1,1968.0,2057.0,2806.0,2105.0,2618.0,2120.0,2755.0,2351.0,3155.0,3559.0,5296.0,3732.0
sir2_vp16,1954.0,1680.0,2149.0,1453.0,1262.0,563.0,4502.0,1903.0,2994.0,2658.0,2401.0,788.0
bre2_vp16,1928.0,1242.0,1447.0,1003.0,1329.0,568.0,712.0,680.0,1090.0,781.0,1045.0,888.0
srb7_med7,1923.0,2330.0,3468.0,2298.0,2940.0,1023.0,3612.0,3520.0,4625.0,4388.0,5212.0,10661.0
snf11_tdh3,1916.0,1621.0,1797.0,1304.0,1172.0,897.0,1615.0,1263.0,1846.0,1388.0,1322.0,1460.0
hhf2_rtt102,1912.0,707.0,1533.0,2206.0,5655.0,17027.0,744.0,579.0,1162.0,931.0,851.0,747.0
btt1_med7,1908.0,2274.0,3313.0,2604.0,3730.0,1864.0,2449.0,2015.0,2378.0,2568.0,3118.0,1278.0
med4_snf11,1896.0,2727.0,3835.0,1990.0,1950.0,1092.0,1952.0,2217.0,2461.0,2339.0,2962.0,4749.0
cac2_med4,1895.0,1949.0,2461.0,1967.0,1783.0,1379.0,63357.0,11290.0,9446.0,5216.0,2866.0,2203.0
gapdh_srb7,1886.0,1754.0,2199.0,1938.0,1757.0,645.0,1040.0,869.0,1902.0,1339.0,1146.0,803.0
nut2_gapdh,1883.0,2591.0,3290.0,2077.0,1968.0,487.0,3584.0,2822.0,3529.0,3581.0,3561.0,3118.0
dpd4_ies5,1880.0,1009.0,1583.0,1069.0,967.0,359.0,5877.0,2747.0,3012.0,2725.0,2060.0,646.0
hmt2_lge1,1851.0,1631.0,1898.0,1408.0,1171.0,328.0,3369.0,1547.0,3299.0,2971.0,1861.0,2262.0
cac2_lge1,1847.0,2443.0,3033.0,1762.0,1466.0,345.0,1085.0,750.0,997.0,1015.0,975.0,501.0
eaf5_hat2,1846.0,1396.0,516.0,692.0,327.0,210.0,315.0,213.0,225.0,245.0,287.0,244.0
ada2_vp16,1833.0,2057.0,2436.0,1255.0,1356.0,767.0,3685.0,1831.0,2041.0,1782.0,1985.0,1196.0
gapdh_hhf2,1831.0,1855.0,1974.0,1377.0,1142.0,215.0,442.0,561.0,788.0,432.0,418.0,244.0
gapdh_lge1,1827.0,1684.0,2068.0,1669.0,1882.0,491.0,4089.0,3685.0,8021.0,5954.0,6172.0,6015.0
tdh3_cac2,1815.0,1743.0,2302.0,1911.0,1299.0,449.0,6013.0,4158.0,5841.0,4261.0,3871.0,848.0
srb7_rpd3,1810.0,2883.0,3646.0,2737.0,2775.0,1061.0,3187.0,2285.0,3580.0,3766.0,4177.0,2503.0
tdh3_htl1,1806.0,2622.0,3305.0,2316.0,2249.0,794.0,3399.0,4377.0,6918.0,5317.0,5500.0,2287.0
empty_snf11,1804.0,3208.0,4682.0,1909.0,2121.0,1241.0,1924.0,1736.0,2003.0,2038.0,1977.0,1616.0
tdh3_arp9,1798.0,2364.0,2484.0,2486.0,1598.0,375.0,1749.0,1287.0,3164.0,2389.0,2821.0,644.0
tdh3_DAM,1795.0,2217.0,3194.0,3001.0,3786.0,704.0,1929.0,1842.0,4264.0,3505.0,4170.0,697.0
snf11_btt1,1790.0,2191.0,2085.0,1131.0,913.0,348.0,4836.0,2923.0,2482.0,1775.0,2056.0,575.0
nut2_pyk2,1789.0,289.0,470.0,273.0,318.0,115.0,805.0,1202.0,884.0,1038.0,773.0,200.0
esa1_rpd3,1772.0,815.0,627.0,465.0,517.0,225.0,209.0,176.0,266.0,188.0,441.0,184.0
spp1_dpd4,1754.0,2104.0,2766.0,1585.0,1655.0,349.0,3212.0,1853.0,2168.0,1982.0,2368.0,554.0
cac2_snf11,1745.0,2021.0,2827.0,1682.0,1629.0,1429.0,2469.0,1970.0,4866.0,6992.0,16114.0,7964.0
vp16_cac2,1737.0,1195.0,1385.0,912.0,1030.0,806.0,1285.0,979.0,1241.0,1233.0,1249.0,1313.0
snf11_nut2,1735.0,2141.0,1837.0,1000.0,819.0,341.0,4202.0,2789.0,2290.0,1647.0,1532.0,535.0
hmt2_snf11,1733.0,1594.0,1765.0,1158.0,932.0,495.0,1718.0,1326.0,2208.0,1266.0,1230.0,830.0
