,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,flow_seq_score_rep_1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,flow_seq_score_rep_2
tdh3_vp16,0.07626567565415199,0.23391658376129942,0.22317710594333673,0.24730048270763824,0.21825737743312656,0.0010827745004469676,0.3286593751436613,0.04324291506285319,0.20691033938957681,0.2770810261573778,0.26278524406926884,0.20889921158255503,0.00108126373836825,0.34149018413345716
vp16_dpd4,0.05859917820057649,0.15779970127117188,0.16202498980159466,0.2355925472778039,0.38095535712845713,0.005028226320396127,0.3910842689747974,0.06381825453795274,0.2723177931790887,0.21729832240782862,0.22767373151119397,0.2176425790248947,0.00124931933904119,0.3238217921890161
swc5_gapdh,0.29969881283923494,0.22381822256129874,0.19142132859417102,0.1399493981829243,0.14411538851170366,0.0009968493106672744,0.22970783927122349,0.0548107914349101,0.256618161360264,0.2100386762586221,0.24815037581706673,0.22924300578671966,0.0011389893424175212,0.3348305158839535
snf11_snf11,0.10065357880832392,0.3268431563661613,0.2626605699987579,0.18442761362032828,0.12471714423575658,0.0006979369706719526,0.2725436284315783,0.08751854991935,0.33971032523132677,0.20911204524281762,0.2012768369466105,0.1609949421306507,0.0013873005292442872,0.2875258853893739
rtt102_srb7,0.124017357289205,0.1974690222459024,0.2077692714694327,0.23821601851156682,0.23175070739647272,0.000777623087420271,0.32264950939178,0.06496002338291636,0.1811074357567993,0.28200783068550106,0.24955974152479402,0.22158996924283955,0.0007749994071497173,0.3405767422441843
gapdh_dpd4,0.1124155370940836,0.27229305369028406,0.24614204757697816,0.19783570459540917,0.17077707230841538,0.0005365847348296062,0.2919822107911825,0.06069448873210193,0.24425781727789306,0.2886431104540437,0.22026268562473916,0.18548523015899995,0.0006566677522221562,0.3182223363510441
btt1_mig1,0.2586420091795606,0.20798055810142704,0.18746739415466387,0.19304378905176342,0.15189628697852214,0.0009699625340629207,0.2534973820214926,0.0486775972278454,0.19390985754585338,0.23532989681722025,0.2487801487064642,0.26667734843890517,0.006625151263711718,0.3586778924819808
srb7_dpd4,0.06477776542036418,0.23463113647030592,0.2737165024568013,0.2342911652551369,0.19096855323439643,0.0016148771629951246,0.32241231941455434,0.049652595372318274,0.2572317658674785,0.21798798019526217,0.23541716530528783,0.23740145606949511,0.0023090371901581352,0.33723003320037676
rtt102_ada2,0.20548026746916617,0.2498500449982033,0.18886765802987174,0.20667200115394152,0.1486918505646957,0.0004381777841217102,0.26350852224273746,0.054102492940340016,0.21488563235132305,0.23083612566152228,0.27328358754841675,0.22282580433390037,0.004066357164497497,0.34400623563967236
snf11_sus1,0.20804470794721677,0.37614569836183426,0.19999059172472636,0.11069493679885166,0.10457473390618109,0.0005493312611898048,0.21846532630550217,0.06545020743293156,0.38632743818217047,0.2008266298386683,0.19250320361312498,0.15394170989651124,0.0009508110365934678,0.2837158862096992
btt1_nhp6a,0.2397814714538532,0.17352253164536133,0.1903480337794001,0.24511033166275717,0.15039880596869387,0.0008388254899342235,0.27076270650241135,0.061284026344450314,0.23880027380179464,0.23063058453475388,0.24329807820686122,0.2231787266046282,0.00280831050751164,0.33381601949256523
med4_dpd4,0.07111994186972703,0.18096358930654863,0.1950712171698354,0.2158888040063403,0.329476398930953,0.007480048716595628,0.3677254678531472,0.06197598563019997,0.22843626814788823,0.22101172037540331,0.22620272946119768,0.25932095097622154,0.003052345409089176,0.34308763260466
htl1_swc5,0.06600032682754985,0.14364481802292137,0.16067065923637378,0.25367332048550884,0.3659793888969364,0.010031486530709888,0.3914401551704986,0.05708885944762436,0.2203220293711674,0.2466226147324646,0.23326619146011388,0.2393467245930172,0.0033535803956126625,0.34107437622379577
tdh3_med4,0.07098533138899,0.21558830462878117,0.23611132009177466,0.24910662588438526,0.22718345205412088,0.0010249659519479819,0.33556992292024423,0.04034084426488402,0.2127589616960079,0.2933714587570038,0.25684047923135794,0.19591986276164014,0.0007683932891061238,0.33679210491374006
dpd4_dpd4,0.08037207266858798,0.22893414029253129,0.2686992008903209,0.22037056159527543,0.20083974528518578,0.000784279268098513,0.31924637204860495,0.058227360591695754,0.2473782963494767,0.24499064986796498,0.22689372090277446,0.22027139470598023,0.002238577582107938,0.33004560364688434
btt1_arp9,0.2916410908904308,0.22256982505935835,0.15377909744586216,0.17911457307440445,0.15247800226356498,0.0004174112663793685,0.23992440065149326,0.04100907063344689,0.2450213912333914,0.23379624498278284,0.25109237031076215,0.22624210204149386,0.0028388207981227603,0.34072192918397615
sir2_dpd4,0.10856456175257687,0.24601007882020803,0.23694489599406357,0.21737906080459282,0.19030746824079603,0.0007939343877627012,0.3053195140177302,0.08054164230314331,0.29112605434999916,0.24978108541667327,0.21922373434649958,0.15874556233017814,0.0005819212535064621,0.2980358976872985
vps71_dpd4,0.13351708125023992,0.27831651838571636,0.17698952564107623,0.24004391296046637,0.1707254768725704,0.0004074848899307538,0.2910523772127433,0.061306706644942054,0.23817388107164011,0.22774854686191892,0.253175302812246,0.21713421215999046,0.0024613504492623215,0.3334343548740699
rtt102_med4,0.10209128584531367,0.21366005829719534,0.2107773472998552,0.26150833858042266,0.21114814955614866,0.0008148204210644483,0.32405806699544154,0.05570152949912126,0.18852895553570584,0.25122732487489685,0.2740872282446454,0.22970512099037566,0.0007498408552550738,0.3479735683224591
tdh3_gapdh,0.08632118089370197,0.25707494375151857,0.22863887603128227,0.23678748277196068,0.19044996322997904,0.0007275533215574748,0.3128789662368098,0.05053353968451992,0.23957250362315316,0.28673772896005434,0.23568743477876453,0.18692154619052748,0.00054724676298052,0.32436181206522396
srb7_med4,0.07017768385328915,0.22087185535822185,0.22751759144342631,0.23146818394054455,0.2479132311908349,0.002051454213683332,0.33888882655692343,0.04806302300532016,0.22697049480022635,0.23870751972462317,0.2285347188573676,0.25535868055502386,0.0023655630574389262,0.3461788897612665
tdh3_srb7,0.07904918706713075,0.2346442165460766,0.24894111901282856,0.24275224079213284,0.19381544278752838,0.0007977937943029996,0.3200048452956801,0.047390934889252716,0.22604879675027625,0.2941131233180604,0.23942848554576446,0.191985507183928,0.001033152312718247,0.32938118433185626
