,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2
btt1_tdh3,2637.0,2581.0,2453.0,2054.0,1141.0,150.0,324.0,113.0,6721.0,3929.0,3762.0,2639.0,3218.0,569.0,458.0,338.0
rtt102_vp16,2629.0,1465.0,3334.0,6484.0,45193.0,77702.0,66742.0,30296.0,2117.0,1615.0,2275.0,4331.0,57686.0,179063.0,142345.0,74969.0
ada2_dpd4,2626.0,2253.0,2579.0,6880.0,41957.0,68793.0,25877.0,3514.0,3498.0,3350.0,3312.0,7223.0,84343.0,150961.0,51919.0,9024.0
htl1_pyk2,2625.0,3384.0,5549.0,6501.0,5943.0,264.0,164.0,220.0,3148.0,3748.0,5136.0,5278.0,9416.0,811.0,507.0,397.0
hhf2_ies5,2616.0,1723.0,2058.0,1542.0,1323.0,99.0,40.0,31.0,2070.0,1003.0,2089.0,1140.0,512.0,347.0,82.0,87.0
hmt2_sus1,2609.0,2279.0,1483.0,1839.0,142.0,25.0,22.0,18.0,218.0,591.0,724.0,220.0,65.0,45.0,38.0,63.0
gapdh_hat2,2591.0,2098.0,2549.0,1243.0,638.0,111.0,250.0,98.0,2227.0,2819.0,2071.0,878.0,729.0,306.0,285.0,203.0
sir2_ada2,2583.0,975.0,1054.0,623.0,388.0,127.0,167.0,66.0,758.0,1028.0,691.0,360.0,941.0,1150.0,387.0,88.0
pyk2_dpd4,2580.0,3238.0,3134.0,2436.0,715.0,118.0,104.0,138.0,6222.0,4535.0,3579.0,2087.0,1953.0,753.0,291.0,248.0
hos2_ies5,2573.0,2769.0,2468.0,2182.0,1605.0,1067.0,651.0,315.0,2586.0,2736.0,2216.0,1725.0,4492.0,1602.0,1258.0,1233.0
gapdh_med7,2559.0,2283.0,1925.0,1124.0,1184.0,123.0,149.0,139.0,2082.0,3157.0,2481.0,1779.0,2077.0,1354.0,668.0,346.0
nhp10_hos2,2555.0,1463.0,3286.0,2019.0,948.0,85.0,74.0,96.0,739.0,1911.0,1073.0,1523.0,937.0,333.0,341.0,247.0
spp1_sfh1,2548.0,1121.0,2024.0,1952.0,877.0,91.0,72.0,136.0,1516.0,1354.0,2125.0,1105.0,1562.0,249.0,150.0,167.0
swc5_hhf2,2546.0,1477.0,1672.0,990.0,382.0,68.0,458.0,40.0,2141.0,1156.0,605.0,621.0,490.0,127.0,113.0,136.0
gapdh_hos2,2540.0,1771.0,1513.0,830.0,102.0,18.0,13.0,18.0,459.0,946.0,565.0,364.0,96.0,37.0,43.0,55.0
srb7_arp9,2538.0,6063.0,8285.0,12308.0,10414.0,1746.0,620.0,518.0,1633.0,2817.0,5260.0,7682.0,18441.0,2195.0,1686.0,812.0
vp16_med4,2535.0,1767.0,2244.0,2893.0,3316.0,7484.0,31427.0,130496.0,1789.0,1969.0,1678.0,1787.0,5804.0,28847.0,84411.0,325372.0
gapdh_DAM,2533.0,1348.0,1164.0,637.0,231.0,91.0,54.0,66.0,3179.0,1882.0,1642.0,759.0,700.0,203.0,99.0,214.0
nhp10_gcn5,2528.0,2356.0,4289.0,4508.0,1312.0,216.0,639.0,127.0,1555.0,2044.0,2564.0,1069.0,1686.0,512.0,721.0,318.0
hst2_empty,2527.0,1822.0,2203.0,1736.0,504.0,160.0,242.0,170.0,1508.0,2410.0,1454.0,731.0,721.0,695.0,555.0,341.0
hmt2_btt1,2507.0,2698.0,2641.0,1288.0,603.0,56.0,56.0,46.0,944.0,1466.0,1110.0,854.0,243.0,95.0,283.0,108.0
arp9_srb7,2502.0,1685.0,2877.0,1374.0,500.0,713.0,1087.0,293.0,1204.0,763.0,529.0,606.0,456.0,117.0,63.0,73.0
bre2_pyk1,2500.0,1775.0,2338.0,1662.0,623.0,81.0,53.0,55.0,1249.0,1575.0,1072.0,804.0,1368.0,366.0,279.0,521.0
pyk2_empty,2496.0,1768.0,2171.0,1662.0,400.0,66.0,36.0,37.0,1076.0,1563.0,893.0,918.0,1246.0,116.0,88.0,83.0
