,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
ies5_swd3,20.0,42.0,37.0,21.0,35.0,12.0,77.0,109.0,423.0,301.0,172.0,17.0
hos1_bre2,20.0,78.0,41.0,46.0,116.0,48.0,156.0,425.0,263.0,209.0,355.0,22.0
spp1_DAM,20.0,41.0,168.0,74.0,140.0,17.0,125.0,123.0,252.0,148.0,263.0,117.0
eaf5_tdh3,20.0,56.0,63.0,35.0,42.0,11.0,52.0,28.0,95.0,84.0,319.0,108.0
ies5_htl1,20.0,15.0,39.0,26.0,57.0,9.0,54.0,58.0,168.0,287.0,228.0,222.0
sfh1_hmt2,19.0,44.0,20.0,73.0,25.0,17.0,108.0,82.0,59.0,81.0,74.0,273.0
bre2_nhp10,19.0,26.0,36.0,19.0,37.0,13.0,314.0,293.0,160.0,232.0,137.0,25.0
hat2_eaf3,19.0,54.0,72.0,61.0,56.0,11.0,123.0,107.0,87.0,34.0,107.0,20.0
spp1_htl1,19.0,67.0,94.0,67.0,141.0,20.0,77.0,106.0,135.0,134.0,122.0,18.0
hos2_ada2,19.0,80.0,140.0,171.0,249.0,18.0,138.0,118.0,130.0,246.0,285.0,51.0
hat2_hat2,19.0,139.0,79.0,45.0,90.0,19.0,16.0,28.0,132.0,83.0,72.0,18.0
htl1_nhp6a,19.0,59.0,116.0,46.0,96.0,8.0,125.0,14.0,170.0,72.0,79.0,15.0
vps71_nhp6a,19.0,25.0,23.0,11.0,14.0,15.0,202.0,79.0,97.0,84.0,187.0,215.0
sus1_rtt102,19.0,26.0,28.0,20.0,18.0,12.0,289.0,319.0,147.0,100.0,214.0,24.0
hat1_hat1,19.0,33.0,24.0,17.0,42.0,27.0,136.0,59.0,163.0,158.0,222.0,20.0
gcn5_med4,19.0,28.0,23.0,20.0,23.0,18.0,27.0,23.0,57.0,22.0,50.0,29.0
pyk2_ies5,19.0,21.0,24.0,20.0,22.0,14.0,23.0,16.0,24.0,29.0,31.0,18.0
arp6_bre2,19.0,40.0,30.0,18.0,19.0,28.0,312.0,154.0,238.0,117.0,131.0,33.0
rpd3_gapdh,18.0,25.0,18.0,13.0,25.0,10.0,21.0,16.0,37.0,84.0,92.0,159.0
arp6_cdc36,18.0,24.0,40.0,17.0,13.0,20.0,19.0,20.0,15.0,23.0,15.0,16.0
hos2_gcn5,18.0,37.0,44.0,25.0,33.0,16.0,67.0,23.0,44.0,78.0,46.0,10.0
sir2_nhp10,18.0,16.0,42.0,12.0,39.0,13.0,26.0,27.0,87.0,59.0,65.0,23.0
hat2_btt1,18.0,61.0,73.0,41.0,55.0,9.0,51.0,24.0,107.0,191.0,136.0,18.0
pyk1_btt1,18.0,38.0,40.0,77.0,58.0,24.0,218.0,73.0,67.0,74.0,42.0,31.0
hst2_rpd3,18.0,104.0,106.0,140.0,163.0,20.0,310.0,135.0,170.0,232.0,151.0,17.0
nut2_vps71,18.0,65.0,41.0,64.0,104.0,13.0,45.0,68.0,136.0,95.0,177.0,13.0
arp6_swc5,18.0,45.0,27.0,47.0,52.0,8.0,301.0,315.0,50.0,146.0,158.0,16.0
hos1_tdh3,17.0,52.0,20.0,50.0,48.0,4.0,7.0,5.0,25.0,90.0,92.0,2.0
sir2_esa1,17.0,32.0,25.0,32.0,24.0,23.0,18.0,24.0,28.0,27.0,21.0,29.0
hhf2_btt1,17.0,51.0,33.0,34.0,12.0,18.0,16.0,84.0,81.0,63.0,130.0,10.0
hda1_btt1,17.0,23.0,29.0,9.0,19.0,25.0,17.0,19.0,29.0,33.0,25.0,25.0
hda1_hat1,17.0,50.0,20.0,39.0,41.0,11.0,78.0,166.0,239.0,293.0,345.0,31.0
arp9_hos1,17.0,33.0,55.0,21.0,89.0,14.0,302.0,125.0,441.0,218.0,319.0,20.0
ldb7_nut2,17.0,26.0,32.0,13.0,24.0,20.0,23.0,21.0,20.0,17.0,20.0,17.0
hmt2_hhf2,17.0,28.0,32.0,19.0,26.0,27.0,38.0,120.0,107.0,139.0,130.0,37.0
bre2_hhf2,17.0,13.0,19.0,15.0,28.0,20.0,278.0,159.0,153.0,125.0,124.0,19.0
sus1_btt1,17.0,344.0,92.0,96.0,163.0,15.0,20.0,73.0,35.0,90.0,61.0,26.0
eaf5_ada2,17.0,23.0,43.0,30.0,42.0,23.0,55.0,45.0,39.0,29.0,48.0,22.0
sfh1_hat1,16.0,86.0,64.0,31.0,70.0,54.0,46.0,116.0,167.0,104.0,106.0,19.0
pyk1_esa1,16.0,30.0,23.0,13.0,29.0,19.0,213.0,65.0,223.0,183.0,179.0,255.0
swd3_ldb7,16.0,35.0,157.0,103.0,191.0,18.0,123.0,99.0,260.0,279.0,411.0,16.0
lge1_cac2,16.0,20.0,21.0,13.0,21.0,17.0,199.0,149.0,152.0,166.0,306.0,307.0
lge1_htl1,16.0,75.0,72.0,73.0,74.0,5.0,35.0,78.0,99.0,68.0,155.0,11.0
hda1_esa1,16.0,42.0,24.0,18.0,21.0,8.0,23.0,112.0,74.0,103.0,119.0,13.0
sfh1_swc5,16.0,20.0,22.0,19.0,22.0,17.0,24.0,67.0,139.0,119.0,115.0,35.0
