,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,flow_seq_score
tdh3_hat2,0.3181260317210042,0.30669292218921407,0.2394383353853326,0.09866931175290614,0.018633883836873172,0.007984571957203583,0.005191055836270656,0.005263887321195626,0.1805756385168717
dpd4_gapdh,0.3472889008627209,0.2870232027688522,0.20980374311579747,0.09720150650701632,0.02753198507415909,0.01413134515057681,0.007720968016734581,0.00929834850414257,0.1843477317429174
tdh3_pyk2,0.3295867077689342,0.30275809671537224,0.2265051648336257,0.10129059874421029,0.018691223361283104,0.010920888550237129,0.005749850405434604,0.004497469620902774,0.17928442122721422
dpd4_hat2,0.33108705724996657,0.2877874761073844,0.2085301801871935,0.11980386383597913,0.025464512642176883,0.014804670233518401,0.0067470863967695055,0.005775153347011631,0.18872134593367237
tdh3_eaf3,0.2946059132956817,0.2797279618390154,0.26250969154045656,0.1208505040472785,0.02372158436226825,0.008204249643330769,0.005143983572479441,0.005236111699489324,0.1958175894369704
tdh3_rtt102,0.3522799975740943,0.284443792239591,0.23153854358738282,0.09759118804562071,0.016169555918225657,0.007622704901742539,0.004780183976325271,0.005574033757017795,0.1729693616985586
dpd4_swc5,0.3242479919147429,0.294723073679154,0.2283357792675389,0.10674697658148176,0.023034889848716482,0.010207230434727547,0.006421715998435798,0.006282342275202623,0.18533113792060196
dpd4_hmt2,0.3094285472733504,0.2858763125763458,0.2310112424857595,0.11324124312593208,0.03238045230899475,0.014370580739833425,0.008072305613440483,0.005619315876343484,0.19668089781083642
tdh3_nut2,0.3196747338304299,0.3221227383123875,0.22142449985263246,0.09668134878933879,0.02054153360617554,0.00908652951656538,0.005634151931798424,0.0048344641606719784,0.17860867530124175
tdh3_btt1,0.35044748729018016,0.31889268562611195,0.21195464914890005,0.08526913020226001,0.015535078067752135,0.007923897088902752,0.004917718530973512,0.005059354044919394,0.1664701373923559
nhp10_lge1,0.2559027850521758,0.3322565282332899,0.258113899558794,0.11473144840753352,0.01770897218261231,0.008756785703537377,0.006833479001840621,0.00569610186021657,0.19831029669345349
empty_dpd4,0.152887023648626,0.21198761665368893,0.2680169958128181,0.25501153863763093,0.07428325787579523,0.013417924300414627,0.010809961728893728,0.01358568134213252,0.29103405956653744
sir2_lge1,0.37537503315078347,0.31514081997107485,0.18753217995375493,0.06913436282377193,0.010952068061785097,0.009642772170843307,0.010497552206005588,0.02172521166198089,0.17209888518873676
nhp10_vp16,0.2730968463136739,0.29096914544643715,0.2868548037088329,0.10164641382510109,0.025075944263276213,0.011725510276967836,0.005747456022243521,0.0048838801434673415,0.19960303141644037
sir2_gapdh,0.3713608762030097,0.32996658149689717,0.19753166877602113,0.06631618415865803,0.01589916701957173,0.007224019729137712,0.005974790632489205,0.005726711984215332,0.15709013799047591
dpd4_eaf3,0.29171603075031716,0.28450546087360906,0.23686584336320593,0.13158067799235706,0.03285803232703083,0.009815105070920434,0.006511365276926513,0.006147484345633094,0.20222677404582973
tdh3_DAM,0.33651481417962115,0.3280827666442746,0.21857160550921145,0.07765037859412,0.017378448265911298,0.00872370650009719,0.00742354688051007,0.0056547334262542805,0.17077626489657555
sir2_med7,0.36819364593863985,0.33466873134808184,0.18920082567570823,0.0748356839194068,0.015506145196958643,0.007725861817787746,0.004945140883838816,0.004923965219577962,0.15748141802493865
dpd4_ies5,0.26055183028354717,0.28171065443406085,0.22432503232364995,0.15613966288917672,0.047575961933398456,0.014872821297601927,0.009336815220262723,0.005487221618302188,0.22255415780288368
dpd4_nut2,0.3227161717670705,0.29146765638630967,0.20931783178756747,0.1232829117164658,0.029701143941324875,0.010261908619981143,0.006983046085554556,0.006269329695726009,0.19083567976563665
dpd4_pyk2,0.3456897577680657,0.3058804230207974,0.20268745044929715,0.09510670107218512,0.0270976485046676,0.01168859176883876,0.006670271677854526,0.005179155738293688,0.17709781431914204
nhp10_hat1,0.24179882280272785,0.3233121164785657,0.28650643313000956,0.10118153664925379,0.025058386356359465,0.010066094220866142,0.005632771342844293,0.006443839019373207,0.20419101577268473
hmt2_dpd4,0.3117366033736524,0.3014327283813102,0.242092895415855,0.10109119459238504,0.021828879021334,0.009422841003785137,0.006774268463748997,0.005620589747929344,0.18618736615891945
tdh3_htl1,0.37201259888800475,0.30763876343058516,0.20906903716331127,0.07697379808178154,0.015147973335294995,0.009159218163537496,0.005577781249423527,0.004420829688061232,0.16107124449634136
nhp10_empty,0.2787499212368045,0.3192476056535347,0.2653090230790043,0.09719878755331979,0.01874518112745046,0.009529474990782664,0.005807606313091289,0.005412400046012492,0.19097465030512184
gapdh_empty,0.37474097764098724,0.32063078430846703,0.19647612778779577,0.07489481236419931,0.013405982316145287,0.008673588343409328,0.006290756612571027,0.004886970626424861,0.15817324028838348
sir2_vp16,0.35940743836050193,0.32919653975312313,0.20431187354855768,0.06480566040492933,0.0183819710855752,0.010631155305585293,0.007783694435878324,0.0054816671058491254,0.1634278236130668
mig1_dpd4,0.5636522170125834,0.28658097249669656,0.07311732688941557,0.02514080669709903,0.02237512703359672,0.014242120380168477,0.008219233255768697,0.006672196234671592,0.10928141851133819
tdh3_tdh3,0.3428695496479828,0.3100328126643519,0.23445043986131264,0.07966272053076734,0.016366346195186725,0.007212950514428483,0.005078841566833273,0.004326339019136885,0.16860134483816092
hst2_dpd4,0.3675156545441093,0.3058745573629059,0.1871691551244432,0.0950754503844036,0.019046945840791637,0.013162246790199332,0.005906711907069737,0.00624927804607724,0.16951763626344646
sir2_eaf3,0.3701398340477851,0.30687187128154203,0.19509226543454378,0.07916460948651771,0.01938878485101667,0.009886643371289071,0.008624545472608517,0.010831446054697078,0.16987228315560363
dpd4_pyk1,0.3876346102113144,0.2737171087296324,0.20202650348775814,0.09963440082806868,0.018785444378744486,0.007801345013830185,0.0056854894985679,0.004715097852083737,0.16542006324706815
tdh3_ldb7,0.31545240839640587,0.33603247236161743,0.22447633561372354,0.08316696273632748,0.019772014684751336,0.009556817635529475,0.006204543271630185,0.0053384453000145885,0.17656493649208327
gapdh_lge1,0.3373099583863408,0.33336470827020714,0.20824612205063164,0.0866254783156499,0.014688678272516853,0.007980024479675305,0.004764773313528179,0.0070202569114501115,0.16944552300974056
sir2_sfh1,0.3632079836969879,0.313626579113488,0.21246243840686135,0.07828923914664243,0.013913958248953338,0.009115344096902244,0.005145893480244293,0.004238563809920359,0.16217100491405295
gapdh_med4,0.33104830686316455,0.33043352880992727,0.20290843733276892,0.09306999721041653,0.022547006714138045,0.008785083940374663,0.005597784069568136,0.005609855059641893,0.17463279021429168
