,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,flow_seq_score_rep_1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,flow_seq_score_rep_2
vp16_vp16,0.12647721257203987,0.1707281871693468,0.17569816512615785,0.20251924605979993,0.31939296867943223,0.005184220393223185,0.3475964617549867,0.08056746367963592,0.21992639049027854,0.22299933257059731,0.23485069827394478,0.24024554869084647,0.0014105662946970832,0.33407316809859694
tdh3_dpd4,0.08972066440718174,0.22780119627702167,0.22807556293823725,0.23113430978886465,0.2215811769497385,0.0016870896389559818,0.3245879153591177,0.0847383876366804,0.21924258665128946,0.24307539060607136,0.22983919282426837,0.22116248364440713,0.0019419586372831788,0.3270386677286117
tdh3_snf11,0.08733870299353168,0.22984503036899934,0.22212748389923562,0.23120057103196984,0.22738297219959758,0.0021052395066660182,0.32682282822787145,0.12238938821046626,0.3033168796469747,0.23356606234453947,0.17072660593024133,0.1686204860909721,0.0013805777768060392,0.2805733793392423
btt1_arp9,0.2590961673096266,0.29895881902304267,0.174554490670921,0.16856321068312421,0.09846427128576017,0.0003630410275254299,0.22134710324213214,0.0731357817746234,0.21763215328263563,0.2428147516821143,0.22977827432356926,0.23460015238690154,0.002038886550155898,0.33445593170227966
ldb7_srb7,0.5307493572252434,0.1229497381204319,0.18011050724968122,0.11374715823369357,0.05224308378681558,0.00020015538413415717,0.14776933419840116,0.08635534061144438,0.229915517105955,0.21391960688454348,0.2457831128897372,0.22131644304191803,0.002709979466401814,0.3277028198634192
spp1_hat2,0.14589723797042783,0.317673065682771,0.22486423925011184,0.2000817333576673,0.1112681739018637,0.00021554983715829027,0.2591138841498918,0.10352579549507174,0.22128474643323234,0.2213214116740711,0.22176187490505947,0.23031829224977812,0.0017878792427872881,0.3227751085299431
srb7_med4,0.10070115824008906,0.21819873034327048,0.22969698767349941,0.2202568233197913,0.22939171207996417,0.0017545883433856076,0.3235289950980611,0.08576770161801239,0.20577114012252926,0.2315884850491178,0.22854113219716196,0.24394853962443652,0.004383001388742046,0.33604009603624385
btt1_swc5,0.20595680059120786,0.3098352738374432,0.170056069550611,0.1842811800357766,0.1293606526218703,0.0005100233630912321,0.24611195433556174,0.061706681107715364,0.2508169310452392,0.2497514158518532,0.21166209300241315,0.22361982509015815,0.0024430539026206754,0.3274286588042744
srb7_gapdh,0.14213027185974095,0.18639689521267538,0.20511831769017352,0.23208437961538883,0.23324681269886297,0.0010233229231583563,0.31871293355006175,0.08471092488397121,0.20972396565795062,0.21516023276821827,0.2835712849622228,0.20600404834342745,0.0008295433842095266,0.33127459948225896
srb7_dpd4,0.06643822410902558,0.20699024693732881,0.2259297783522062,0.26079546711516044,0.23832014115946268,0.0015261423268164,0.34316392589416506,0.08042114009358955,0.2306104357172404,0.2233964885564993,0.2350144154113016,0.22925683682326015,0.0013006833981088898,0.32942534619253266
srb7_lge1,0.08546432181350247,0.26880295722709774,0.2305517174168814,0.219183017031857,0.19521218222907732,0.0007858042815841805,0.3103190276400945,0.08735888721511288,0.26095071015137683,0.22794097995192975,0.2329417310387119,0.19011996370332587,0.0006877279395428239,0.3113680510974842
nut2_med7,0.08473015649689294,0.2324993695311041,0.22683684265396925,0.2204770235800313,0.23291888694556617,0.0025377207924363637,0.3274240396176547,0.08731306170336116,0.22182425092633673,0.23225474005227745,0.23866574989445083,0.2170471651417146,0.0028950322818590796,0.3264278289557711
rtt102_ada2,0.15047259580239164,0.23419932729505774,0.20517699948928925,0.2293894549590134,0.17934463140341864,0.0014169910508293258,0.2938835960026425,0.08586420956095193,0.2383668950897558,0.24601219169915264,0.23211571830513877,0.1959376088890078,0.0017033764559930096,0.3170008216056391
tdh3_vp16,0.08275935991904088,0.23327892755364163,0.2277748934340012,0.22316856446122058,0.2308391066882157,0.0021791479438800485,0.32751236775393844,0.08479673013572067,0.22167368760446765,0.23399524174133685,0.23057705406702378,0.22672268500781415,0.0022346014436367308,0.32849415436252183
srb7_snf11,0.07801476811686604,0.2322550619891427,0.20812204876231918,0.2453733475331566,0.234700585750351,0.0015341878481643938,0.3330132120507824,0.0990179491384693,0.2479790410690291,0.22284636112906916,0.2208919736987021,0.2036236475045401,0.0056410274601903084,0.3141496302489122
rtt102_gcn5,0.0840607226907163,0.36902969198144786,0.25063142496217533,0.2066674255386024,0.089378716115018,0.000232018712040016,0.26413853950598254,0.07984825178810379,0.20558816619758452,0.210246154709668,0.2421128642189644,0.2603144907338505,0.0018900723518287816,0.34330391328119425
