,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,flow_seq_score_rep_1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2,flow_seq_score_rep_2
tdh3_eaf3,0.24693366924963203,0.27403090258691337,0.25432367464889744,0.1406040348006209,0.06575059330813866,0.010858308512792852,0.002424726356810559,0.005074090536194254,0.22455018056818757,0.2805697721394502,0.2608133046145158,0.2231338430842343,0.16906432624766646,0.047397611389507925,0.011713122310402474,0.003174502639687058,0.004133517574535887,0.21577309507084305
btt1_sfh1,0.11720737442523609,0.14829135580053224,0.19155506068627223,0.2577382712,0.22350784960252834,0.05106482045371243,0.0034597494239680246,0.007175518407750581,0.3607084166928306,0.09280153358061356,0.11339441489344167,0.16087647032680974,0.2735178008356856,0.2892273248436685,0.05534276455904291,0.006753072252861115,0.008086618707876875,0.39806409209947297
btt1_hmt2,0.21507454517925625,0.23992623438549157,0.22598583828656685,0.20362566605750965,0.0997006725212397,0.009955693551497563,0.0018533429721361463,0.0038780070463023814,0.2556603105900763,0.19030046332135567,0.2327452675725227,0.24610718770468243,0.20334514723717348,0.10259974968780376,0.016031686884361924,0.004557165394183238,0.004313332197916994,0.2690126908024216
esa1_dpd4,0.1698441250068275,0.17532191619212237,0.21580924030299112,0.24458408228650147,0.15594488302076143,0.022269935805274834,0.004562544818202267,0.01166327256731905,0.312120004521068,0.14297634693952835,0.16275745353348614,0.2055421868186314,0.2634367780437671,0.18311001392895743,0.026771245335746992,0.009549004708210615,0.005856970691671971,0.33267732382679743
btt1_pyk2,0.2247154979705487,0.23725779346609865,0.25715591903563717,0.18952055140226465,0.07780428886376158,0.008671022033258658,0.0013839081749124885,0.0034910190535180205,0.24392059054137247,0.22303605678593347,0.2246963050801473,0.24596240767963443,0.18418075964670294,0.0980631983200797,0.015943251603192782,0.0038686620236071307,0.004249358860702376,0.25629856212033814
dpd4_arp9,0.4070085728777402,0.2527006185166142,0.186105704560366,0.1185271484731165,0.02129764056465359,0.008966996820809692,0.001707528263828279,0.0036857899228715353,0.163794959780347,0.35448068728886317,0.2605235496250121,0.2105693467233953,0.09878927838139726,0.0348387212929228,0.03198144744439446,0.00340577090347644,0.005411198340538425,0.1908007449163265
empty_gapdh,0.27999711647798053,0.2421665393809784,0.23926701926849803,0.16353523572714995,0.05836557620820737,0.010363011958890112,0.0018031466855812361,0.004502354292714282,0.21984557284131306,0.26836043194287673,0.25393138139247706,0.24464502514181652,0.1473952741265616,0.06118125779763022,0.014241169292762949,0.005516779569565823,0.004728680736309054,0.22393422489738413
gapdh_empty,0.3421719111011027,0.2945728970991319,0.21364430205694343,0.10465539781341612,0.03067172511580651,0.009182713413167313,0.0016272607950210433,0.0034737926054109894,0.17692975359861898,0.343956789819278,0.27590383391481044,0.20435602938219966,0.12839608844475084,0.02994472441777002,0.010676135283486831,0.003026327558173619,0.0037400711795307147,0.1839003136725333
hos2_dpd4,0.186845704964401,0.1336413734519671,0.13181600417420575,0.1518381040827896,0.17751242392607816,0.19332317887454717,0.016204207947233824,0.008819002578777263,0.38405879283723426,0.1558780837502772,0.12051640611298457,0.12127565383205254,0.1516744924631849,0.19779957624368574,0.2068086075488638,0.030106287483217153,0.015940892565734232,0.4193652152493069
dpd4_mig1,0.3871690760796308,0.34053655736587574,0.16103655358239538,0.05651848949265241,0.033443527869396014,0.013181176615681658,0.00272321446165771,0.0053914045327103765,0.15513203515193352,0.41126448646849056,0.337930231476735,0.15058566324114953,0.06233524577866823,0.015665726434511737,0.013661046474883616,0.004180970503214372,0.004376629622346889,0.14468538054045976
